index,label,kind,price,behavior,icon,icon_name,flags,flag_names,source_group,use_scene,use_scene_name,visual_traits,runtime_bitmap_symbol,runtime_dimensions_px,entry_source,art_status,official_status,official_source,official_coverage
145,STEAK,food,800,1,1,icon_1,128,secret,9,1,meal,145,kCatalogEntryBitmaps[145],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
146,CLOCK,item,4000,1,37,Clock,136,reusable;secret,9,4,study,146,kCatalogEntryBitmaps[146],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
147,HAIR GEL,item,400,2,38,HairGel,132,adult_only;secret,9,3,play,147,kCatalogEntryBitmaps[147],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
148,HONEY,item,2000,2,39,Honey,132,adult_only;secret,9,3,play,148,kCatalogEntryBitmaps[148],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
149,RC CAR 3,item,2800,0,33,Car,140,adult_only;reusable;secret,9,3,play,149,kCatalogEntryBitmaps[149],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
150,NYATCHI,item,2500,2,40,Character,132,adult_only;secret,9,3,play,150,kCatalogEntryBitmaps[150],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
151,HOHOTCHI,item,0,2,40,Character,140,adult_only;reusable;secret,9,3,play,151,kCatalogEntryBitmaps[151],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
152,MEMORY153,souvenir,900,0,0,icon_0,128,secret,8,7,memory,152,kCatalogEntryBitmaps[152],16;16,segment,generated runtime row,,,
153,MEMORY154,souvenir,950,1,1,icon_1,128,secret,8,7,memory,153,kCatalogEntryBitmaps[153],16;16,segment,generated runtime row,,,
154,MEMORY155,souvenir,1000,2,2,icon_2,128,secret,8,7,memory,154,kCatalogEntryBitmaps[154],16;16,segment,generated runtime row,,,
155,MEMORY156,souvenir,1050,3,3,icon_3,128,secret,8,7,memory,155,kCatalogEntryBitmaps[155],16;16,segment,generated runtime row,,,
156,MEMORY157,souvenir,1100,4,4,icon_4,128,secret,8,7,memory,156,kCatalogEntryBitmaps[156],16;16,segment,generated runtime row,,,
157,MEMORY158,souvenir,1150,5,5,icon_5,128,secret,8,7,memory,157,kCatalogEntryBitmaps[157],16;16,segment,generated runtime row,,,
158,MEMORY159,souvenir,1200,6,6,icon_6,128,secret,8,7,memory,158,kCatalogEntryBitmaps[158],16;16,segment,generated runtime row,,,
159,MEMORY160,souvenir,1250,7,7,icon_7,128,secret,8,7,memory,159,kCatalogEntryBitmaps[159],16;16,segment,generated runtime row,,,
